region,price,area,purpose
1,2300000000,4,1
1,395000000,1,3
1,237000000,1,2
1,1850000000,3,1
1,1550000000,3,1
1,240000000,1,2
1,2270000000,4,1
1,440000000,1,3
1,1200000000,2,1
1,4300000000,5,1
1,444000000,1,2
1,490000000,1,2
1,6680000000,5,1
1,4700000000,5,1
1,480000000,1,3
1,1677900000,3,1
1,300000000,1,2
1,2686000000,4,1
1,310000000,1,2
1,2570000000,4,1
1,170000000,1,2
1,305000000,1,2
1,2250000000,4,1
1,950000000,2,3
1,271000000,1,2
1,2850000000,4,1
1,3100000000,4,1
1,103850000,1,2
1,205000000,1,2
1,290000000,1,1
1,3900000000,5,1
1,899990000,2,1
1,1500000000,3,1
1,3750000000,5,1
1,410000000,1,3
1,6700000000,5,1
1,3270000000,4,1
1,1025000000,2,1
1,7180000000,5,1
1,3230000000,4,1
1,288000000,1,2
1,2700000000,4,1
1,174000000,1,2
1,295000000,1,2
1,4200000000,5,1
1,230000000,1,2
1,360000000,1,3
1,3000000000,4,1
1,223000000,1,2
1,1900000000,3,1
1,1700000000,3,1
1,1280000000,3,1
1,8300000000,5,1
1,4250000000,5,1
1,1550000000,3,1
1,745000000,2,3
1,1280000000,3,1
1,217000000,1,1
1,1400000000,3,2
1,550000000,2,1
1,2900000000,4,1
1,2280000000,4,1
1,143000000,1,2
1,160000000,1,2
1,175000000,1,2
1,1700000000,3,3
1,1450000000,3,1
1,1700000000,3,1
1,480000000,1,3
1,4400000000,5,1
1,6100000000,5,1
1,4750000000,5,3
1,835000000,2,1
1,2800000000,4,1
1,3500000000,4,1
1,135000000,1,2
1,4740000000,5,1
1,820000000,2,3
1,420000000,1,2
1,2720000000,4,1
1,3800000000,5,1
1,2820000000,4,1
1,260000000,1,2
1,690000000,2,3
1,370000000,1,3
1,3410000000,4,1
1,5950000000,5,1
1,860000000,2,1
1,1820000000,3,1
1,3750000000,5,1
1,1900000000,3,1
1,163000000,1,2
1,1930000000,3,1
1,1170000000,2,1
1,330000000,1,1
1,3250000000,4,1
1,1650000000,3,1
1,215000000,1,2
1,1260000000,3,1
1,190000000,1,3
1,2400000000,4,1
1,1017960000,2,1
1,270000000,1,2
1,1047540000,2,1
1,280000000,1,2
1,210000000,1,1
1,923100000,2,1
1,2400000000,4,1
1,1525000000,3,1
1,4400000000,5,1
1,3900000000,5,1
1,3180000000,4,1
1,900000000,2,1
1,1420000000,3,1
1,2270000000,4,1
1,2120000000,4,1
1,8300000000,5,3
1,440000000,1,2
1,2000000000,3,1
1,695000000,2,3
1,1480000000,3,1
1,1260000000,3,1
1,1820000000,3,1
1,871000000,2,1
1,3300000000,4,1
1,3600000000,5,1
1,2625000000,4,3
1,3200000000,4,1
1,4300000000,5,1
1,2200000000,4,1
1,2020000000,4,1
1,197000000,1,1
1,2640000000,4,1
1,2300000000,4,1
1,3200000000,4,1
1,240000000,1,3
1,153000000,1,2
1,3600000000,5,1
1,1485000000,3,1
1,840000000,2,1
1,4600000000,5,1
1,3000000000,4,1
1,1641180000,3,1
1,490000000,1,3
1,2300000000,4,1
1,2850000000,4,1
1,2210000000,4,1
1,210000000,1,2
1,240000000,1,2
1,2850000000,4,1
1,2090000000,4,1
1,310000000,1,1
1,3680000000,5,1
1,3140000000,4,1
1,2150000000,4,1
1,1670000000,3,1
1,188000000,1,2
1,4080000000,5,1
1,2880000000,4,1
1,1230000000,3,1
1,279000000,1,2
1,279000000,1,2
1,3670000000,5,1
1,3800000000,5,4
1,570000000,2,2
1,420000000,1,2
1,1540000000,3,1
1,1360000000,3,1
1,320000000,1,1
1,2400000000,4,1
1,5000000000,5,1
1,2300000000,4,1
1,300000000,1,3
1,440000000,1,2
1,3600000000,5,1
1,1850000000,3,1
1,2005000000,4,1
1,1000000000,2,1
1,2410000000,4,1
1,1010000000,2,1
1,1650000000,3,1
1,1600000000,3,1
1,1800000000,3,1
1,3000000000,4,1
1,3900000000,5,1
1,2140000000,4,1
1,2640000000,4,1
1,1320000000,3,1
1,544000000,2,3
1,260000000,1,2
1,213000000,1,3
1,300000000,1,1
1,1820000000,3,1
1,700000000,2,3
1,2580000000,4,1
1,3617000000,5,1
1,1590000000,3,1
1,3600000000,5,1
1,1925000000,3,1
1,3200000000,4,1
1,3200000000,4,1
1,1850000000,3,1
1,2900000000,4,1
1,2595000000,4,1
1,1290000000,3,1
1,3520000000,5,1
1,740000000,2,3
1,2450000000,4,1
1,3700000000,5,1
1,2480000000,4,1
1,2400000000,4,1
1,2490000000,4,1
1,2640000000,4,1
1,1320000000,3,1
1,2195000000,4,3
1,1350000000,3,1
1,2900000000,4,1
1,2380000000,4,1
1,1310000000,3,1
1,1320000000,3,1
1,890000000,2,1
1,6700000000,5,1
1,545000000,2,3
1,570000000,2,3
1,1850000000,3,1
1,180000000,1,2
1,1980000000,3,1
1,1940000000,3,1
1,550000000,2,3
1,2500000000,4,1
1,5800000000,5,1
1,1600000000,3,3
1,2490000000,4,1
1,310000000,1,2
1,3700000000,5,1
1,1965000000,3,1
1,6700000000,5,1
1,186000000,1,2
1,290000000,1,2
1,2470000000,4,1
1,330000000,1,1
1,2770000000,4,1
1,303000000,1,1
1,5550000000,5,1
1,5300000000,5,1
1,4300000000,5,1
1,280000000,1,2
1,3300000000,4,1
1,3900000000,5,1
1,3320000000,4,1
1,920000000,2,2
1,5600000000,5,1
1,4400000000,5,1
1,2850000000,4,1
1,2740000000,4,1
1,2685000000,4,1
1,2300000000,4,1
1,615000000,2,2
1,450000000,1,2
1,1550000000,3,1
1,480000000,1,3
1,950000000,2,1
1,1660000000,3,1
1,1990000000,3,1
1,160000000,1,2
1,2075000000,4,1
1,860000000,2,1
1,4000000000,5,1
1,2100000000,4,1
1,5600000000,5,1
1,4480000000,5,1
1,2030000000,4,1
1,3550000000,5,1
1,3400000000,4,1
1,3550000000,5,1
1,3485000000,4,1
1,3150000000,4,1
1,3150000000,4,1
1,3300000000,4,1
1,2100000000,4,1
1,2090000000,4,1
1,3270000000,4,1
1,3330000000,4,1
1,260000000,1,2
1,480000000,1,3
1,2750000000,4,1
1,5150000000,5,1
1,4730000000,5,1
1,2920000000,4,1
1,1630000000,3,1
1,2000000000,3,1
1,1910000000,3,1
1,480000000,1,3
1,2300000000,4,1
1,2650000000,4,2
1,4600000000,5,1
1,910000000,2,1
1,6700000000,5,1
1,4400000000,5,1
1,2745000000,4,1
1,2130000000,4,1
1,13500000000,5,4
1,1900000000,3,1
1,535000000,2,3
1,4150000000,5,1
1,1290000000,3,1
1,250000000,1,2
1,246500000,1,2
1,1300000000,3,1
1,1300000000,3,1
1,2915000000,4,1
1,280000000,1,2
1,1590000000,3,1
1,450000000,1,2
1,189000000,1,2
1,2700000000,4,1
1,1412700000,3,1
1,223000000,1,2
1,2750000000,4,1
1,2890000000,4,1
1,2690000000,4,1
1,7650000000,5,1
1,3740000000,5,1
1,1320000000,3,1
1,1900000000,3,1
1,1895000000,3,1
1,3050000000,4,1
1,1675000000,3,1
1,295000000,1,2
1,6100000000,5,1
1,3400000000,4,1
1,4500000000,5,1
1,3170000000,4,1
1,163000000,1,2
1,210000000,1,3
1,2700000000,4,1
1,238000000,1,2
1,1980000000,3,1
1,3850000000,5,1
1,5530000000,5,1
1,208000000,1,1
1,1650000000,3,1
1,990000000,2,1
1,3000000000,4,1
1,1650000000,3,1
1,2650000000,4,1
1,3000000000,4,1
1,4220000000,5,1
1,637000000,2,3
1,4500000000,5,1
1,3800000000,5,1
1,3790000000,5,1
1,1820000000,3,1
1,415000000,1,2
1,690000000,2,3
1,2575000000,4,1
1,1970000000,3,1
