DrawNo,Number1,Number2,Number3,Number4,Number5,Number6,Bonus,1st Prize,2nd Prize,3rd Prize,4th Prize,5th Prize
1,10,23,29,33,37,40,16,0,0,143934100,143934100,143934000
2,9,13,21,25,32,42,2,2002006800,2002006800,189733600,94866800,189726000
3,11,16,19,21,27,31,30,2000000000,2000000000,0,0,163199900
4,14,27,30,31,40,42,2,0,0,211191200,211191200,211189600
5,16,24,29,40,41,42,3,0,0,0,0,253419600
6,14,15,26,27,40,42,34,6574451700,6574451700,588892800,196297600,588887400
7,2,9,16,25,26,40,42,0,0,433485000,48165000,433485000
8,8,19,25,34,37,39,9,0,0,789330000,131555000,789298800
9,2,4,16,17,36,39,14,0,0,3077826000,769456500,3077817600
10,9,25,30,33,41,44,6,83595692700,6430437900,9631962400,40813400,9631930800
11,1,7,36,37,41,42,14,23900761500,4780152300,3983459700,362132700,3983438800
12,2,11,21,25,39,45,44,16186148400,1348845700,2697688800,99914400,2697502500
13,22,23,25,37,38,42,26,0,0,2599855800,433309300,2599830000
14,2,6,12,31,33,40,15,37500193200,9375048300,3650175200,130363400,3650122700
15,3,4,16,30,31,37,13,17014245000,17014245000,2835707200,177231700,2835689900
16,6,7,24,37,38,40,33,17508584400,4377146100,2918096400,243174700,2918042400
17,3,4,9,17,32,37,1,16048473600,5349491200,2674745100,297193900,2674678200
18,3,12,13,19,32,35,29,0,0,2625259500,175017300,2625256800
19,6,30,38,39,40,43,26,40722959400,40722959400,4161899000,297278500,4161856700
20,10,14,18,20,23,30,41,19352212800,19352212800,3225367600,230383400,3225304800
21,6,12,17,18,31,32,21,18341934200,797475400,3056989000,117576500,3056979200
22,4,5,6,8,17,39,25,18208779600,4552194900,3034793600,94837300,3034759200
23,5,13,17,18,33,42,44,17271790800,4317947700,2878631700,125157900,2878593200
24,7,8,27,29,36,43,6,0,0,3168426600,176023700,3168402500
25,2,4,21,26,43,44,16,48455490600,24227745300,4907487200,175267400,4907398100
26,4,5,7,18,20,25,31,17475349500,3495069900,2912555100,74680900,2912490000
27,1,20,26,28,37,43,27,19087965000,9543982500,3181326400,198832900,3181315500
28,9,18,23,25,35,37,1,17003611000,1700361100,2833934400,128815200,2833874400
29,1,5,13,34,39,40,11,17762970000,3552594000,2960493900,174146700,2960473600
30,8,17,20,35,36,44,4,17457111000,8728555500,2909517600,132250800,2909515200
31,7,9,18,23,28,35,32,16213345800,8106672900,2702222900,93180100,2702169000
32,6,14,19,25,34,44,11,16345283000,1634528300,2724213800,55596200,2724193500
33,4,7,32,33,40,41,9,14903517600,14903517600,2483919400,60583400,2483912100
34,9,26,35,37,40,42,2,15284590000,3056918000,2547427500,56609500,2547339200
35,2,3,11,26,37,43,39,15163794600,5054598200,2527298400,105304100,2527217100
36,1,10,23,26,28,40,31,16014475800,16014475800,2669078200,140477800,2669030400
37,7,27,30,33,35,37,42,14957998200,4985999400,2492998000,124649900,2492927300
38,16,17,22,30,37,43,36,16124599200,5374866400,2687432400,149301800,2687414100
39,6,7,13,15,21,43,8,15742492800,2623748800,2623747500,104949900,2623696500
40,7,13,18,19,25,26,6,14919481200,1147652400,2486576400,56513100,2486529500
41,13,20,23,35,38,43,34,0,0,2297484000,109404000,2297470000
42,17,18,19,21,23,32,1,41395680600,6899280100,4601793000,131479800,4601656000
43,6,31,35,38,39,44,1,17749630800,17749630800,2958270000,140870000,2958199600
44,3,11,21,30,38,45,39,16810779000,3362155800,2801795600,121817200,2801743500
45,1,10,20,27,33,35,17,16712835600,8356417800,2785471200,103165600,2785433000
46,8,13,15,23,31,38,39,15983276400,5327758800,2663879400,68304600,2663822000
47,14,17,26,31,36,45,27,16250212000,3250042400,2708368300,246215300,2708345200
48,6,10,18,26,37,38,3,14494041600,2415673600,2415672500,96626900,2415647300
49,4,7,16,19,33,40,30,13772532200,1967504600,2295419700,46845300,2295333200
50,2,10,12,15,22,44,1,15681184200,5227061400,2613529800,186680700,2613464000
51,2,3,11,16,26,44,35,14526702000,2421117000,2421114800,93119800,2421047300
52,2,4,15,16,20,29,1,15603379600,3900844900,2600562900,200043300,2600536800
53,7,8,14,32,33,39,42,15043113000,5014371000,2507185000,100287400,2507132200
54,1,8,21,27,36,39,37,15445879800,5148626600,2574312000,171620800,2574307600
55,17,21,31,37,40,44,7,14177599200,7088799600,2362932000,98455500,2362869600
56,10,14,30,31,33,37,19,15110283600,3777570900,2518380300,86840700,2518362900
57,7,10,16,25,29,44,6,16457647600,4114411900,2742940000,109717600,2742912000
58,10,24,25,33,40,44,1,14705716800,3676429200,2450951100,62844900,2450952800
59,6,29,36,39,41,45,13,16510349200,4127587300,2751724600,119640200,2751711900
60,2,8,25,36,39,42,11,15207532200,2172504600,2534587200,93873600,2534496000
61,14,15,19,30,38,43,8,17705194000,3541038800,2950865500,268260500,2950860000
62,3,8,15,27,29,35,21,15817286400,15817286400,2636213800,119827900,2636137100
63,3,20,23,36,38,40,5,15844491000,7922245500,2640747200,101567200,2640672800
64,14,15,18,21,26,36,39,15599272000,3899818000,2599878600,236352600,2599833600
65,4,25,33,36,40,43,39,14911783200,3727945800,2485296000,92048000,2485233400
66,2,3,7,17,22,24,45,14740552800,3685138200,2456757000,129303000,2456721600
67,3,7,10,15,36,38,33,14801055500,2114436500,2466837400,39787700,2466838800
68,10,12,15,16,26,39,38,14729410500,2945882100,2454900000,122745000,2454873200
69,5,8,14,15,19,39,35,14888136600,4962712200,2481356000,124067800,2481303800
70,5,19,22,25,28,43,26,15093833400,5031277800,2515637600,179688400,2515594500
71,5,9,12,16,29,41,21,0,0,2484865600,88745200,2484805000
72,2,4,11,17,26,27,1,42386819800,3260524600,4579599200,104081800,4579495000
73,3,12,18,32,40,43,38,16599972600,2766662100,2766660000,106410000,2766617400
74,6,15,17,18,35,40,23,15854849400,5284949800,2642472000,66061800,2642450100
75,2,5,24,32,34,44,28,15658467600,3914616900,2609743100,137354900,2609743100
76,1,3,15,22,25,37,43,14902045200,7451022600,2483672800,146098400,2483628000
77,2,18,29,32,43,44,37,15467275800,5155758600,2577878200,135677800,2577851500
78,10,13,25,29,33,35,38,14079400000,3519850000,2346566200,106662100,2346526000
79,3,12,24,27,30,32,14,13665775200,3416443800,2277629210,73471910,2277630108
80,17,18,24,25,26,30,1,13809540000,13809540000,2301590000,143849375,2301590536
81,5,7,11,13,20,33,6,13571444400,2714288880,2261907400,113095370,2261908056
82,1,2,3,14,27,42,39,14562494400,14562494400,2427082400,121354120,2427082749
83,6,10,15,17,19,34,14,14173896600,7086948300,2362316100,157487740,2362316430
84,16,23,27,34,42,45,11,15339558000,7669779000,2556593008,150387824,2556593185
85,6,8,13,23,31,36,21,13848439200,3462109800,2308073225,74453975,2308073872
86,2,12,37,39,41,45,33,14252186400,14252186400,2375364400,148460275,2375364537
87,4,12,16,23,34,43,26,19792938605,1799358055,3298823121,99964337,3298823750
88,1,17,20,24,30,41,27,12278838600,3069709650,2046473122,66015262,2046474066
89,4,26,28,29,33,40,37,12744965700,4248321900,2124160950,70805365,2124161300
90,17,20,29,35,38,44,10,13165741200,3291435300,2194290232,64537948,2194290540
91,1,21,24,26,29,42,27,14331609600,3582902400,2388601600,74643800,2388601610
92,3,14,24,33,35,36,17,13565979306,1233270846,2260996550,45219931,2260998054
93,6,22,24,36,38,44,19,13615068900,2269178150,2269178158,87276083,2269178972
94,5,32,34,40,41,45,6,13472039700,2245339950,2245339972,59087894,2245340031
95,8,17,27,31,34,43,14,13981929904,1747741238,2330321664,48548368,2330322048
96,1,3,8,21,22,31,20,12929934605,1847133515,2154989120,56710240,2154990222
97,6,7,14,15,20,36,3,13465926000,1496214000,2244321002,48789587,2244321274
98,6,9,16,23,24,32,43,12711889200,3177972300,2118648240,47081072,2118649080
99,1,3,10,27,29,37,11,13015314300,2169219050,2169219080,54230477,2169220536
100,1,7,11,23,37,42,6,13261262100,3315315525,2210210352,61394732,2210211296
101,1,3,17,32,35,45,8,13536487500,2707297500,2256081280,59370560,2256081560
102,17,22,24,26,35,40,42,13114377603,1457153067,2185729608,91072067,2185729728
103,5,14,15,27,30,45,10,13532716504,1691589563,2255452760,59354020,2255453651
104,17,32,33,34,42,44,35,13221487500,6610743750,2203581263,95807881,2203582320
105,8,10,20,34,41,45,28,13667125800,3416781450,2277854306,87609781,2277854766
106,4,10,12,22,24,33,29,12967378512,810461157,2161229760,54030744,2161230192
107,1,4,5,6,9,31,17,13359855600,6679927800,2226642600,63618360,2226643968
108,7,18,22,23,29,44,12,13992305404,1998900772,2332050931,56879291,2332052282
109,1,5,34,36,42,44,33,14962058400,1246838200,2493676425,80441175,2493677278
110,7,20,22,23,29,43,1,13698786000,4566262000,2283131010,60082395,2283131952
111,7,18,31,33,36,40,27,13194284700,2199047450,2199047478,43118578,2199048396
112,26,29,30,33,41,42,43,14105440503,1567271167,2350906752,73465836,2350907670
113,4,9,28,33,36,45,26,14053760406,1561528934,2342293420,54471940,2342293779
114,11,14,19,26,28,41,2,14174070300,2362345050,2362345052,57618172,2362346364
115,1,2,6,9,25,28,31,13397306103,1488589567,2232884380,65673070,2232885470
116,2,4,25,31,34,37,17,13984231205,1997747315,2330705216,41619736,2330705310
117,5,10,22,34,36,44,35,14025405006,1558378334,2337567500,46751350,2337567620
118,3,4,10,17,19,22,38,12979897200,1297989720,2163316210,52763810,2163316704
119,3,11,13,14,17,21,38,13274094600,1474899400,2212349118,45149982,2212350448
120,4,6,10,11,32,37,30,13093590900,4364530300,2182265150,70395650,2182265535
121,12,28,30,34,38,43,9,13679296200,6839648100,2279882724,73544604,2279883540
122,1,11,16,17,36,40,8,13050664200,1450073800,2175110728,57239756,2175111587
123,7,17,18,28,30,45,27,12664913400,2532982680,2110818908,55547866,2110819102
124,4,16,23,25,29,42,1,12563426403,1395936267,2093904407,56592011,2093905660
125,2,8,32,33,35,36,18,12284095502,1754870786,2047349268,56870813,2047349408
126,7,20,22,27,40,43,1,12323713500,1369301500,2053952250,58684350,2053952333
127,3,5,10,29,32,43,35,11795634900,1965939150,1965939188,45719516,1965939389
128,12,30,34,36,37,45,39,12384258600,2064043100,2064043115,89741005,2064043360
129,19,23,25,28,38,42,17,12029926205,1093629655,2004987700,40099754,2004988680
130,7,19,24,27,42,45,31,12145986600,3036496650,2024331120,67477704,2024332238
131,8,10,11,14,15,21,37,11609715904,1451214488,1934952657,58634929,1934954280
132,3,17,23,34,41,45,43,11681894100,2920473525,1946982358,57264187,1946983712
133,4,7,15,18,23,26,13,11601940800,1450242600,1933656840,37914840,1933656932
134,3,12,20,23,31,35,43,11745775500,2349155100,1957629250,39152585,1957629898
135,6,14,22,28,35,39,16,12021054605,1717293515,2003509116,71553897,2003509616
136,2,16,30,36,41,42,11,11986164900,1997694150,1997694166,76834391,1997694401
137,7,9,20,25,36,39,15,11433631203,1270403467,1905605200,47640130,1905605424
138,10,11,27,28,37,39,19,11135760000,2227152000,1855960000,57998750,1855961082
139,9,11,15,20,28,43,13,11551471505,1650210215,1925245252,68758759,1925245584
140,3,13,17,18,19,28,8,10547314200,2109462840,1757885714,51702521,1757886380
141,8,12,29,31,42,43,2,11403314400,1900552400,1900552410,65536290,1900553512
142,12,16,30,34,40,44,19,11200921204,1018265564,1866820200,66672150,1866821034
143,26,27,28,42,43,45,8,11863754100,3954584700,1977292380,56494068,1977293334
144,4,15,17,26,36,37,43,11219523304,1402440413,1869920568,49208436,1869921942
145,2,3,13,20,27,44,9,11393514600,3797838200,1898919128,49971556,1898919176
146,2,19,27,35,41,42,25,12086830500,6043415250,2014471780,59249170,2014472268
147,4,6,13,21,40,42,36,11900281505,1700040215,1983380280,56668008,1983380580
148,21,25,33,34,35,36,17,11617982100,2323596420,1936330375,55323725,1936331475
149,2,11,21,34,41,42,27,11473365001,1639052143,1912227501,44470407,1912227777
150,2,18,25,28,37,39,16,11326583400,2831645850,1887763916,41038346,1887764351
151,1,2,10,13,18,19,15,10866536100,2716634025,1811089350,40246430,1811089371
152,1,5,13,26,29,34,43,11390659200,2278131840,1898443200,63281440,1898443360
153,3,8,11,12,13,36,33,10922104500,2730526125,1820350792,35006746,1820352048
154,6,19,21,35,40,45,20,11346514800,2836628700,1891085824,59096432,1891086665
155,16,19,20,32,33,41,4,10737051606,1193005734,1789508626,48365098,1789509150
156,5,18,28,30,42,45,2,11208799200,1401099900,1868133210,62271107,1868133840
157,19,26,30,33,35,39,37,10969807500,5484903750,1828301272,65296474,1828301475
158,4,9,13,18,21,34,7,10695443400,1069544340,1782573930,39612754,1782574956
159,1,18,30,41,42,43,32,10532443800,1755407300,1755407304,73141971,1755407556
160,3,7,8,34,39,41,1,10981610700,5490805350,1830268480,57195890,1830268856
161,22,34,36,40,42,45,44,13978133904,1996876272,2096355681,33275487,2096356619
162,1,5,21,25,38,41,24,11541328800,2308265760,1923554820,58289540,1923555548
